Participant,Sensor,Task,Area,Jerk X,Jerk Y,Jerk Z,RMS Acceleration,RMS Angular Velocity,Ellipse Area,Box Area,Total Pathway Length,volume,Mean Acceleration X,Mean Acceleration Y,Mean Acceleration Z
participant7,torso,task3.csv,271814406.98360515,5.667093179650271e-08,-7.832463549847487e-08,-1.9670451789524332e-08,2.302749005905533,0.6678403826671121,0.3702194967819894,55.2022575588,78818109.90190563,12.23734500477162,3.595534147128091,0.5741494633651707,-9.160784910637188
participant8,lowerback,task3.csv,554619340.1603694,-2.1505375600211325e-08,-2.519483213461861e-09,2.6331724518136897e-10,4.588062982360026,0.8412356908769514,0.0498672676384532,5.575356414306001,231670277.5249344,0.1856750298203178,-1.7423588954375082,-1.4069518535608116,-9.585722435440092
participant8,torso,task3.csv,113715799.48625082,1.5428278979939855e-08,-1.2110078942616262e-08,-1.0327951691868738e-09,0.9656276095758376,0.7114982744611228,0.0236249519186678,2.36345407786,45167566.31198069,0.0813309322128703,1.314929390009106,0.5674475539872512,-9.68460720307012
participant9,head,task3.csv,89483343.49026898,2.0985389971338262e-08,2.819605347721556e-08,1.3699768401999272e-08,1.7247744646540968,0.9574678028472656,2.655956577215381,42.91792535866,2173165.9090783927,68.83773185640426,0.3147261296613519,2.8635915799183023,-9.596026875741206
participant9,lowerback,task3.csv,72250969.84369765,-3.7268803758669015e-08,6.931877320112486e-08,-9.05939199110856e-10,1.3037810058791053,0.8005972551052584,0.8706047315422624,8.975283135756,6999009.560024739,2.856492635016848,0.7242903760616752,0.7656151663399974,-9.714460398536522
participant1,head,task4.csv,4909347.359977616,3.695112815166641e-07,-3.688990559288044e-07,-2.990527432282914e-07,1.32257647292782,0.8068232114996745,1.2153675405408289,9.432074365788,1577.7146815298863,6.362257454042622,1.0537898310679612,1.761736850485437,-9.739976291262137
participant1,lowerback,task4.csv,11082334.984919492,-1.433220666340135e-06,3.28878697200614e-07,1.8708504842435178e-07,3.204198605029524,0.9262304677242008,0.8807498890092582,8.712747323,2299.5353572314034,7.546522171775822,-2.043031154525386,0.3895441766004415,-9.608771161147905
participant1,torso,task4.csv,8772436.35485012,1.8846624399485955e-06,3.270952037326611e-07,1.876269956400906e-07,3.4879331886633063,0.8757614624927739,6.419802871991463,46.6225,8344.243776580388,59.23198098491609,3.099756151401869,0.5291979626168224,-9.32867941682243
participant10,lowerback,task4.csv,10094478.38519449,-1.8233436984194737e-06,-1.2156879627455827e-08,-1.69445581741522e-07,3.9059682835943264,1.0161513415492165,10.997260291772475,42.6933330644,1755.3473387104364,150.487595660964,1.0161505635838153,-0.915597225433526,-9.092580462427746
participant10,torso,task4.csv,9904445.985460538,1.6636406931250157e-06,-1.336080171218395e-06,-6.91634559200478e-08,4.685313395923025,1.084235729660546,4.277533760246274,36.58525592,1915.393913480745,74.98011285202031,0.6251825863874346,0.7156063246073299,-9.143009460732983
participant11,lowerback,task4.csv,9862136.885389898,1.0978832025832439e-07,4.639430329526172e-07,1.5150865694675708e-07,2.613873792977009,0.6629710940923709,0.1305534470749477,2.887557238731,3337.8780645521447,0.3968249705665359,-2.1753635352697094,0.5828910352697095,-9.51556777593361
participant11,torso,task4.csv,6231434.777894581,1.2480189020320063e-06,2.967501204355499e-07,5.39361073153465e-07,1.7915713337444674,0.771980684726774,0.7923331796247476,21.51892248,4909.908627002147,23.659329970329345,1.7960312020033389,0.311802714524207,-9.68397541736227
